name,confidence,models,roles,organizations,source_count,years,sources
גלי,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,6,2024,https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/
גילה,high,dictabert+hebert,במאי,קרן קולנוע ערבה,6,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main
באמנון,medium,hebert,במאי,קרן קולנוע ערבה,6,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main
כשגילה,medium,dictabert+hebert,במאי,קרן קולנוע ערבה,6,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main
שרי,high,dictabert+hebert,במאי,קרן קולנוע ערבה,6,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
שרונה,high,dictabert+hebert,במאי,קרן קולנוע ערבה,6,"2023,2024",https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/
והשייח',medium,hebert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",6,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%aa/#main
##nath,medium,hebert,,קרן קולנוע ערבה,6,"2023,2024",https://aravaff.co.il/en/movies/shorts-in-the-desert-2/#main; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/en/movies/shorts-in-the-desert-2/
volach,medium,hebert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/en/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/en/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/en/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/
jon,medium,dictabert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/stop-making-sense/; https://aravaff.co.il/movies/%d7%90%d7%96%d7%95%d7%a8-%d7%94%d7%a2%d7%a0%d7%99%d7%99%d7%9f/#main; https://aravaff.co.il/movies/%d7%90%d7%96%d7%95%d7%a8-%d7%94%d7%a2%d7%a0%d7%99%d7%99%d7%9f/
נגה,medium,hebert+dictabert,"מפיק, במאי",קרן קולנוע ערבה,6,"2024,2025",https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/
franc,medium,dictabert,,קרן קולנוע ערבה,6,"2012,2023,2025",https://aravaff.co.il/movies/%d7%90%d7%97%d7%a8%d7%99-%d7%9c%d7%95%d7%a1%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%96%d7%9b%d7%a8%d7%95%d7%a0%d7%95%d7%aa/
mic,medium,dictabert,,קרן קולנוע ערבה,6,"2012,2023",https://aravaff.co.il/movies/%d7%99%d7%a6%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%90%d7%97%d7%a8%d7%99-%d7%9c%d7%95%d7%a1%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%96%d7%9b%d7%a8%d7%95%d7%a0%d7%95%d7%aa/
מארי אמשוקלי,medium,hebert,"במאי, צלם, מפיק",קרן קולנוע ערבה,6,"2014,2023",https://aravaff.co.il/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%90%d7%9e%d7%90-%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/
hayao miyazaki,medium,hebert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
מייקל קורטיז,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%a7%d7%96%d7%91%d7%9c%d7%a0%d7%a7%d7%94/; https://aravaff.co.il/movies/%d7%a7%d7%96%d7%91%d7%9c%d7%a0%d7%a7%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
נורי בילגה ג'יילן,medium,hebert,"במאי, שחקן",קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
joe hisaishi,medium,hebert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
ג'ונתן דמי מדינה,medium,hebert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/stop-making-sense/; https://aravaff.co.il/movies/stop-making-sense/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
פבלו ברגר,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%97%d7%9c%d7%95%d7%9e%d7%95%d7%aa-%d7%a9%d7%9c-%d7%a8%d7%95%d7%91%d7%95%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%95%d7%9e%d7%95%d7%aa-%d7%a9%d7%9c-%d7%a8%d7%95%d7%91%d7%95%d7%98/#main
ג'ונתן דמי,high,hebert+dictabert,,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/stop-making-sense/; https://aravaff.co.il/movies/stop-making-sense/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
ברני,medium,dictabert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",5,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/; https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/#main
רוזאלי רוזאלי,medium,hebert,,קרן קולנוע ערבה,5,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main
רוזנטל,high,dictabert+hebert,במאי,"קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",5,"2024,2025",https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
ג'ורג'רוי היל,high,dictabert+hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",5,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%a2%d7%95%d7%a7%d7%a5/#main
צ'רלי צ'פלין,high,dictabert+hebert,,"קרן קולנוע ערבה, קרן קולנוע נגב",5,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/archive/2025/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/
ben,high,hebert+dictabert,,קרן קולנוע ערבה,5,"2023,2024,2025",https://aravaff.co.il/movies/%d7%a8%d7%95%d7%96%d7%90%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a8%d7%95%d7%96%d7%90%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%9c%d7%a2%d7%96%d7%95%d7%91-%d7%99%d7%95%d7%9d-%d7%90%d7%97%d7%93/#main
אורסולה סול,medium,dictabert,"במאי, שחקן",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/20-%d7%90%d7%9c%d7%a3-%d7%9e%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%9c-%d7%93%d7%91%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
' ה רור,medium,dictabert,,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/
נורי ביל,medium,dictabert,"במאי, שחקן",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
אלי,medium,dictabert,במאי,קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%9c%d7%94-%d7%9b%d7%99%d7%9e%d7%a8%d7%94/
ג'יילן,medium,dictabert,"במאי, שחקן",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
מאיה קסל,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
מייקל קורט,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,4,2023,https://aravaff.co.il/movies/%d7%a7%d7%96%d7%91%d7%9c%d7%a0%d7%a7%d7%94/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/archive/2023/
וולטר סאל,medium,dictabert,"במאי, תסריטאי, מפיק, שחקן","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%90%d7%a0%d7%99-%d7%a2%d7%93%d7%99%d7%99%d7%9f-%d7%9b%d7%90%d7%9f/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
מישל הז,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%a1%d7%97%d7%95%d7%a8%d7%94-%d7%99%d7%a7%d7%a8%d7%94-%d7%9e%d7%9b%d7%9c/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
מייקל דודו,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"2016,2024",https://aravaff.co.il/movies/%d7%94%d7%a6%d7%91-%d7%94%d7%90%d7%93%d7%95%d7%9d/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
צוקים,medium,hebert,במאי,"קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"2023,2024,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
עמנואל פאר,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%a9%d7%9c%d7%95%d7%a9%d7%94-%d7%a7%d7%99%d7%9c%d7%95%d7%9e%d7%98%d7%a8%d7%99%d7%9d-%d7%9e%d7%a1%d7%95%d7%a3-%d7%94%d7%a2%d7%95%d7%9c%d7%9d/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
גינ,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
רוני,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
אקי,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"2023,2024",https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9e%d7%96%d7%9c-%d7%93%d7%92%d7%99%d7%9d/; https://aravaff.co.il/archive/2024/
מאיה קניג,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%91/
מילוש פורמן,high,dictabert+hebert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%a9%d7%99%d7%a2%d7%a8/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
מאורה דל,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%9b%d7%9c%d7%aa-%d7%94%d7%94%d7%a8/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
פרנק,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
ספיר,high,hebert+dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/archive/2024/
ריימונד בורל,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"1998,2024",https://aravaff.co.il/movies/%d7%a7%d7%99%d7%a8%d7%99%d7%a7%d7%95-%d7%95%d7%94%d7%9e%d7%9b%d7%a9%d7%a4%d7%94/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
מישל אוסלו,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"1998,2024",https://aravaff.co.il/movies/%d7%a7%d7%99%d7%a8%d7%99%d7%a7%d7%95-%d7%95%d7%94%d7%9e%d7%9b%d7%a9%d7%a4%d7%94/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
רידינג,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/; https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/#main; https://aravaff.co.il/archive/2024/
בוריס לוז'קין,high,dictabert+hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8-%d7%a9%d7%9c-%d7%a1%d7%95%d7%9c%d7%99%d7%9e%d7%90%d7%9f/#main; https://aravaff.co.il/movies/%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8-%d7%a9%d7%9c-%d7%a1%d7%95%d7%9c%d7%99%d7%9e%d7%90%d7%9f/; https://aravaff.co.il/archive/2024/
כליל כובש,medium,hebert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
רונ,medium,dictabert,"במאי, תסריטאי","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%9b%d7%a9%d7%94%d7%90%d7%95%d7%a8-%d7%a0%d7%a9%d7%91%d7%a8/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
הו גווא,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%9b%d7%9c%d7%91-%d7%a9%d7%97%d7%95%d7%a8/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
רייס,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
אגא,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/; https://aravaff.co.il/movies/%d7%99%d7%94%d7%9c%d7%95%d7%9d-%d7%a4%d7%a8%d7%95%d7%a2/#main; https://aravaff.co.il/archive/2024/
ג'ון קס,high,dictabert+hebert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%92%d7%9c%d7%95%d7%a8%d7%99%d7%94/#main; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
דה - ויט,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"2016,2024",https://aravaff.co.il/movies/%d7%94%d7%a6%d7%91-%d7%94%d7%90%d7%93%d7%95%d7%9d/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
טלילה פרנק,medium,hebert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
פדרו אלמודובר,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main; https://aravaff.co.il/archive/2024/
פרנק מדינה,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/archive/2024/
דרור,medium,dictabert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",4,2024,https://aravaff.co.il/movies/%d7%aa%d7%97%d7%a8%d7%95%d7%aa-%d7%9c%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c%d7%99%d7%9d-%d7%a2%d7%9c%d7%99%d7%9c%d7%aa%d7%99%d7%99%d7%9d-%d7%a7%d7%a6%d7%a8%d7%99%d7%9d-2/; https://aravaff.co.il/archive/2024/; https://aravaff.co.il/archive/2024/#main
