URLs to scrape: 1491
  [117/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%90%d7%91%d7%90-%d7%9c%d7%95%d7%91%d7%94/ (16211 bytes)
  [118/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%90%d7%99%d7%a0%d7%9e%d7%92%d7%a2/ (13265 bytes)
  [119/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%91%d7%95%d7%90%d7%95%d7%aa-reflejos/ (15359 bytes)
  [120/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%90%d7%a0%d7%a6%d7%99/ (13503 bytes)
  [121/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%91%d7%99%d7%aa-%d7%a9%d7%9c%d7%99/ (12732 bytes)
  [122/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%99%d7%93%d7%95%d7%93/ (14884 bytes)
  [123/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%99%d7%a7%d7%aa-%d7%9b%d7%a9%d7%a8%d7%95%d7%aa/ (13654 bytes)
  [124/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%92%d7%99%d7%9f/ (15144 bytes)
  [125/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%a7-%d7%91%d7%99%d7%aa/ (13830 bytes)
  [126/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%9e%d7%99-%d7%99%d7%9e%d7%99%d7%94/ (15213 bytes)
  [127/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%a8%d7%9a-%d7%94%d7%91%d7%99%d7%aa%d7%94/ (15462 bytes)
  [128/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%93%d7%a8%d7%9a-%d7%97%d7%96%d7%a8%d7%94/ (17335 bytes)
  [129/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%90%d7%99-%d7%94%d7%91%d7%99%d7%aa%d7%94/ (15004 bytes)
  [130/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%94%d7%9e%d7%aa%d7%a0%d7%94/ (17741 bytes)
  [131/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%91%d7%9c%d7%94/ (15618 bytes)
  [132/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%91%d7%94-%d7%9e%d7%99%d7%99%d7%a1%d7%a1/ (15793 bytes)
  [133/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%97%d7%9f-%d7%9b%d7%9c%d7%99%d7%95%d7%aa/ (16713 bytes)
  [134/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%a2%d7%95%d7%aa/ (15252 bytes)
  [135/1491] ✓ https://nfct.org.il/blog/movies/%d7%91%d7%95%d7%a7%d7%a8-%d7%98%d7%95%d7%91-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d/ (17450 bytes)
